City,High,Average,Low,Period Begin,Period Duration,Period End,Region
Chicago,48,25,-4,1/1/16,30,1/31/16,"Chicago, IL"
Chicago,62,31,2,2/1/16,30,2/29/16,"Chicago, IL"
Chicago,70,44,11,3/1/16,30,3/31/16,"Chicago, IL"
Chicago,83,48,22,4/1/16,30,4/30/16,"Chicago, IL"
Chicago,87,60,35,5/1/16,30,5/31/16,"Chicago, IL"
Chicago,93,72,51,6/1/16,30,6/30/16,"Chicago, IL"
Chicago,93,76,54,7/1/16,30,7/31/16,"Chicago, IL"
Chicago,92,76,56,8/1/16,30,8/31/16,"Chicago, IL"
Chicago,91,70,50,9/1/16,30,9/30/16,"Chicago, IL"
Chicago,82,57,36,10/1/16,30,10/31/16,"Chicago, IL"
Chicago,75,47,22,11/1/16,30,11/30/16,"Chicago, IL"
Chicago,54,25,-13,12/1/16,30,12/31/16,"Chicago, IL"
Dallas,75,47,28,1/1/16,30,1/31/16,"Dallas, TX"
Dallas,77,55,32,2/1/16,30,2/29/16,"Dallas, TX"
Dallas,89,62,37,3/1/16,30,3/31/16,"Dallas, TX"
Dallas,88,68,46,4/1/16,30,4/30/16,"Dallas, TX"
Dallas,93,73,50,5/1/16,30,5/31/16,"Dallas, TX"
Dallas,99,84,66,6/1/16,30,6/30/16,"Dallas, TX"
Dallas,100,88,70,7/1/16,30,7/31/16,"Dallas, TX"
Dallas,106,86,71,8/1/16,30,8/31/16,"Dallas, TX"
Dallas,100,82,57,9/1/16,30,9/30/16,"Dallas, TX"
Dallas,96,74,53,10/1/16,30,10/31/16,"Dallas, TX"
Dallas,87,64,37,11/1/16,30,11/30/16,"Dallas, TX"
Dallas,82,51,17,12/1/16,30,12/31/16,"Dallas, TX"
Denver,62,33,4,1/1/16,30,1/31/16,"Denver, CO"
Denver,70,38,6,2/1/16,30,2/29/16,"Denver, CO"
Denver,73,41,16,3/1/16,30,3/31/16,"Denver, CO"
Denver,76,47,23,4/1/16,30,4/30/16,"Denver, CO"
Denver,82,54,26,5/1/16,30,5/31/16,"Denver, CO"
Denver,97,70,49,6/1/16,30,6/30/16,"Denver, CO"
Denver,98,75,55,7/1/16,30,7/31/16,"Denver, CO"
Denver,95,70,46,8/1/16,30,8/31/16,"Denver, CO"
Denver,91,66,40,9/1/16,30,9/30/16,"Denver, CO"
Denver,85,58,28,10/1/16,30,10/31/16,"Denver, CO"
Denver,75,46,13,11/1/16,30,11/30/16,"Denver, CO"
Denver,64,30,-6,12/1/16,30,12/31/16,"Denver, CO"
San Diego,72,59,44,1/1/16,30,1/31/16,"San Diego, CA"
San Diego,89,64,44,2/1/16,30,2/29/16,"San Diego, CA"
San Diego,76,63,48,3/1/16,30,3/31/16,"San Diego, CA"
San Diego,87,66,56,4/1/16,30,4/30/16,"San Diego, CA"
San Diego,72,65,58,5/1/16,30,5/31/16,"San Diego, CA"
San Diego,88,69,61,6/1/16,30,6/30/16,"San Diego, CA"
San Diego,85,71,63,7/1/16,30,7/31/16,"San Diego, CA"
San Diego,84,73,62,8/1/16,30,8/31/16,"San Diego, CA"
San Diego,101,73,61,9/1/16,30,9/30/16,"San Diego, CA"
San Diego,91,71,61,10/1/16,30,10/31/16,"San Diego, CA"
San Diego,96,66,47,11/1/16,30,11/30/16,"San Diego, CA"
San Diego,83,59,41,12/1/16,30,12/31/16,"San Diego, CA"
"Washington, DC",62,35,15,1/1/16,30,1/31/16,"Washington, DC"
"Washington, DC",65,40,13,2/1/16,30,2/29/16,"Washington, DC"
"Washington, DC",79,54,29,3/1/16,30,3/31/16,"Washington, DC"
"Washington, DC",86,57,30,4/1/16,30,4/30/16,"Washington, DC"
"Washington, DC",88,64,45,5/1/16,30,5/31/16,"Washington, DC"
"Washington, DC",96,76,53,6/1/16,30,6/30/16,"Washington, DC"
"Washington, DC",100,83,64,7/1/16,30,7/31/16,"Washington, DC"
"Washington, DC",101,83,67,8/1/16,30,8/31/16,"Washington, DC"
"Washington, DC",98,76,59,9/1/16,30,9/30/16,"Washington, DC"
"Washington, DC",87,63,41,10/1/16,30,10/31/16,"Washington, DC"
"Washington, DC",83,53,32,11/1/16,30,11/30/16,"Washington, DC"
"Washington, DC",68,42,17,12/1/16,30,12/31/16,"Washington, DC"
